taxonomy_code,primary_code,name,workflow_type,sensitivity_class,route_mode,routing_profile_code,routing_status,submission_available,handoff_action_keys
DRN-012,DRN,Illegal sewage discharge,ENFORCEMENT,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
DRN-013,DRN,Septic tank overflow,PUBLIC_HEALTH,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
DRN-014,DRN,Public toilet sewer blockage,PUBLIC_HEALTH,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
DRN-015,DRN,Construction debris inside a drain,ENFORCEMENT,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
DRN-016,DRN,Clogged nullah or open drainage channel,MAINTENANCE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
DRN-017,DRN,Damaged culvert,SAFETY_HAZARD,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
DRN-018,DRN,Blocked drain inlet or catch basin,MAINTENANCE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
DRN-019,DRN,Sewage-line leakage,PUBLIC_HEALTH,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
DRN-020,DRN,Blocked storm-water outlet or outfall,MAINTENANCE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
WTR-001,WTR,Municipal water-line leakage,MAINTENANCE,PUBLIC,specialized_ward,water_leakage,mapped,true,
WTR-002,WTR,Major pipeline burst,SAFETY_HAZARD,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
WTR-003,WTR,No water supply,SERVICE_FAILURE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
WTR-004,WTR,Low water pressure,SERVICE_FAILURE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
WTR-005,WTR,Irregular or intermittent water supply,SERVICE_FAILURE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
WTR-006,WTR,Contaminated or discoloured water,PUBLIC_HEALTH,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
WTR-007,WTR,Foul-smelling or bad-tasting water,PUBLIC_HEALTH,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
WTR-008,WTR,Damaged public tap,MAINTENANCE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
WTR-009,WTR,Public tap continuously running,MAINTENANCE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
WTR-010,WTR,Municipal water tanker not delivered,SERVICE_FAILURE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
WTR-011,WTR,Suspected illegal water connection,ENFORCEMENT,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
WTR-012,WTR,Damaged or leaking water meter,MAINTENANCE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
WTR-013,WTR,Open or damaged valve chamber,SAFETY_HAZARD,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
WTR-014,WTR,Overhead tank or reservoir overflow,MAINTENANCE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
WTR-015,WTR,Water pumping-station failure,SERVICE_FAILURE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
WTR-016,WTR,Fire hydrant damaged or inaccessible,SAFETY_HAZARD,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
WTR-017,WTR,Public drinking-water fountain failure,FACILITY_SERVICE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
WTR-018,WTR,Pipeline damaged by roadwork or construction,SAFETY_HAZARD,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
WTR-019,WTR,Water theft or unauthorized extraction,ENFORCEMENT,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
WTR-020,WTR,Water-supply schedule or zone disruption,SERVICE_FAILURE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
ELE-001,ELE,Broken municipal streetlight,MAINTENANCE,PUBLIC,specialized_ward,broken_streetlight,mapped,true,
ELE-002,ELE,Flickering streetlight,MAINTENANCE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
ELE-003,ELE,Streetlight remains on during daytime,SERVICE_FAILURE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
ELE-004,ELE,Multiple streetlights out on one road,SAFETY_HAZARD,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
ELE-005,ELE,Broken or damaged streetlight pole,SAFETY_HAZARD,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
ELE-006,ELE,Leaning or unstable electrical pole,SAFETY_HAZARD,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
ELE-007,ELE,Exposed electrical wire,EMERGENCY,EMERGENCY_PRIVATE,protected_handoff,,protected_handoff,false,ele_exposed_wire_112|ele_exposed_wire_1916
ELE-008,ELE,Sparking or electrical short circuit,EMERGENCY,EMERGENCY_PRIVATE,protected_handoff,,protected_handoff,false,ele_short_circuit_112|ele_short_circuit_1916
ELE-009,ELE,Open electrical junction box,SAFETY_HAZARD,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
ELE-010,ELE,Hanging or low electrical cable,SAFETY_HAZARD,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
ELE-011,ELE,Damaged transformer or feeder pillar,SAFETY_HAZARD,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
ELE-012,ELE,Stolen or damaged streetlight cable,CRIME_REPORT,PRIVATE,protected_handoff,,protected_handoff,false,ele_cable_theft_112|ele_cable_theft_police
ELE-013,ELE,High-mast light failure,MAINTENANCE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
ELE-014,ELE,Park lighting failure,MAINTENANCE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
ELE-015,ELE,Subway or underpass lighting failure,SAFETY_HAZARD,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
ELE-016,ELE,Bus-stop or public-shelter lighting failure,MAINTENANCE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
ELE-017,ELE,Solar streetlight failure,MAINTENANCE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
ELE-018,ELE,Traffic-signal power failure,SAFETY_HAZARD,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
ELE-019,ELE,Municipal CCTV camera malfunction,MAINTENANCE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
ELE-020,ELE,Public Wi-Fi or civic digital-kiosk failure,INFORMATION_ACCESS,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
HLT-001,HLT,Mosquito breeding or stagnant water,PUBLIC_HEALTH,PUBLIC,specialized_ward,mosquito_breeding,mapped,true,
HLT-002,HLT,Excessive mosquito nuisance or fogging request,PUBLIC_HEALTH,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
HLT-003,HLT,Rodent infestation,PUBLIC_HEALTH,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
HLT-004,HLT,Cockroach or fly infestation,PUBLIC_HEALTH,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
HLT-005,HLT,Unhygienic food premises,PUBLIC_HEALTH,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
HLT-006,HLT,Suspected unsafe or adulterated food,PUBLIC_HEALTH,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
HLT-007,HLT,Open-defecation hotspot,PUBLIC_HEALTH,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
HLT-008,HLT,Public-urination hotspot,PUBLIC_HEALTH,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
HLT-009,HLT,Spitting or tobacco-stain hotspot,PUBLIC_HEALTH,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
HLT-010,HLT,Persistent foul odour in a public area,PUBLIC_HEALTH,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
HLT-011,HLT,Improperly discarded infectious waste,PUBLIC_HEALTH,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
HLT-012,HLT,Unhygienic school or anganwadi premises,PUBLIC_HEALTH,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
HLT-013,HLT,Unhygienic hospital or health-centre surroundings,PUBLIC_HEALTH,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
HLT-014,HLT,Mosquito breeding at a construction site,PUBLIC_HEALTH,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
HLT-015,HLT,Suspected waterborne-illness cluster,PUBLIC_HEALTH,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
HLT-016,HLT,Contaminated public drinking-water source,PUBLIC_HEALTH,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
HLT-017,HLT,Area not disinfected after flooding or sewage,PUBLIC_HEALTH,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
HLT-018,HLT,Unhygienic market or slaughter area,PUBLIC_HEALTH,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
HLT-019,HLT,Inadequate community sanitation,SERVICE_FAILURE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
HLT-020,HLT,Unhygienic public shelter or community facility,PUBLIC_HEALTH,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
ENV-001,ENV,Fallen or dangerous tree,SAFETY_HAZARD,PUBLIC,specialized_ward,fallen_tree,mapped,true,
ENV-002,ENV,Broken or hanging tree branch,SAFETY_HAZARD,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
ENV-003,ENV,Tree pruning required,MAINTENANCE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
ENV-004,ENV,Suspected illegal tree cutting,ENFORCEMENT,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
ENV-005,ENV,Tree roots damaging a road or building,SAFETY_HAZARD,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
ENV-006,ENV,Dead or diseased tree,SAFETY_HAZARD,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
ENV-007,ENV,Municipal park not maintained,MAINTENANCE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
ENV-008,ENV,Broken playground equipment,SAFETY_HAZARD,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
ENV-009,ENV,"Damaged park bench, gate, or fence",MAINTENANCE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
ENV-010,ENV,Park irrigation leakage,MAINTENANCE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
ENV-011,ENV,Garbage or unhygienic condition inside a park,PUBLIC_HEALTH,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
ENV-012,ENV,Stray-dog nuisance,ANIMAL_WELFARE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
ENV-013,ENV,Aggressive dog or dog-bite risk,SAFETY_HAZARD,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
ENV-014,ENV,Injured stray animal,ANIMAL_WELFARE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
ENV-015,ENV,Stray cattle obstructing a public road,SAFETY_HAZARD,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
ENV-016,ENV,Animal-feeding activity causing public nuisance,ENVIRONMENTAL,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
ENV-017,ENV,Snake or wildlife conflict in an urban area,SAFETY_HAZARD,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
ENV-018,ENV,"Air pollution, smoke, or toxic fumes",ENVIRONMENTAL,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
ENV-019,ENV,Excessive noise pollution,ENVIRONMENTAL,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
ENV-020,ENV,"Polluted lake, river, pond, or water body",ENVIRONMENTAL,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
BLD-001,BLD,Suspected illegal construction,ENFORCEMENT,RESTRICTED,specialized_ward,illegal_construction,mapped,true,
BLD-002,BLD,"Encroachment on road, footpath, or municipal land",ENFORCEMENT,RESTRICTED,specialized_ward,encroachment,mapped,true,
BLD-003,BLD,Unsafe or dilapidated building,SAFETY_HAZARD,RESTRICTED,generic_ward,general_ward_complaint,mapped,true,
BLD-004,BLD,Imminent building-collapse risk,EMERGENCY,EMERGENCY_PRIVATE,protected_handoff,,protected_handoff,false,bld_collapse_risk_112|bld_collapse_risk_1916
BLD-005,BLD,"Unauthorized floor, extension, or structure",ENFORCEMENT,RESTRICTED,generic_ward,general_ward_complaint,mapped,true,
BLD-006,BLD,Construction without visible permission,ENFORCEMENT,RESTRICTED,generic_ward,general_ward_complaint,mapped,true,
BLD-007,BLD,Construction site without safety barricading,SAFETY_HAZARD,RESTRICTED,generic_ward,general_ward_complaint,mapped,true,
BLD-008,BLD,Construction debris obstructing public space,ENFORCEMENT,RESTRICTED,generic_ward,general_ward_complaint,mapped,true,
BLD-009,BLD,Construction noise outside permitted hours,ENFORCEMENT,RESTRICTED,generic_ward,general_ward_complaint,mapped,true,
BLD-010,BLD,Uncontrolled construction dust,ENVIRONMENTAL,RESTRICTED,generic_ward,general_ward_complaint,mapped,true,
BLD-011,BLD,Unauthorized or unsafe excavation,SAFETY_HAZARD,RESTRICTED,generic_ward,general_ward_complaint,mapped,true,
BLD-012,BLD,Illegal hoarding or signboard,ENFORCEMENT,RESTRICTED,generic_ward,general_ward_complaint,mapped,true,
BLD-013,BLD,Unauthorized vending stall or temporary structure,ENFORCEMENT,RESTRICTED,generic_ward,general_ward_complaint,mapped,true,
BLD-014,BLD,Shop extension blocking a footpath,ENFORCEMENT,RESTRICTED,generic_ward,general_ward_complaint,mapped,true,
BLD-015,BLD,Encroachment on a drain or water body,ENFORCEMENT,RESTRICTED,generic_ward,general_ward_complaint,mapped,true,
BLD-016,BLD,Illegal land filling or reclamation,ENFORCEMENT,RESTRICTED,generic_ward,general_ward_complaint,mapped,true,
BLD-017,BLD,Basement misuse or illegal conversion,ENFORCEMENT,RESTRICTED,generic_ward,general_ward_complaint,mapped,true,
BLD-018,BLD,Building fire-safety violation,SAFETY_HAZARD,RESTRICTED,generic_ward,general_ward_complaint,mapped,true,
BLD-019,BLD,Blocked emergency exit or staircase,SAFETY_HAZARD,RESTRICTED,generic_ward,general_ward_complaint,mapped,true,
BLD-020,BLD,Unsafe or unauthorized demolition,SAFETY_HAZARD,RESTRICTED,generic_ward,general_ward_complaint,mapped,true,
TRF-001,TRF,Traffic-signal malfunction,SAFETY_HAZARD,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
TRF-002,TRF,Damaged traffic-signal pole,SAFETY_HAZARD,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
TRF-003,TRF,Missing traffic sign,SAFETY_HAZARD,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
TRF-004,TRF,Incorrect or contradictory traffic sign,SAFETY_HAZARD,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
TRF-005,TRF,Illegal parking,ENFORCEMENT,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
TRF-006,TRF,Abandoned vehicle,ENFORCEMENT,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
TRF-007,TRF,Vehicle blocking a footpath,ENFORCEMENT,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
TRF-008,TRF,Vehicle blocking emergency access,SAFETY_HAZARD,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
TRF-009,TRF,Bus-stop obstruction,ENFORCEMENT,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
TRF-010,TRF,Damaged bus shelter,MAINTENANCE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
TRF-011,TRF,Pedestrian-signal failure,SAFETY_HAZARD,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
TRF-012,TRF,Unsafe pedestrian crossing or junction,SAFETY_HAZARD,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
TRF-013,TRF,Speeding hotspot or speed-calming request,SAFETY_HAZARD,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
TRF-014,TRF,Unauthorized speed breaker,ENFORCEMENT,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
TRF-015,TRF,Parking-meter malfunction,FACILITY_SERVICE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
TRF-016,TRF,Auto-rickshaw or taxi-stand obstruction,ENFORCEMENT,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
TRF-017,TRF,School-zone traffic-safety issue,SAFETY_HAZARD,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
TRF-018,TRF,Cycle-lane obstruction,ENFORCEMENT,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
TRF-019,TRF,Chronic congestion caused by civic obstruction,MAINTENANCE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
TRF-020,TRF,Non-functioning traffic display or message sign,MAINTENANCE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
FAC-001,FAC,Damaged municipal-school facility,FACILITY_SERVICE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
FAC-002,FAC,Damaged anganwadi facility,FACILITY_SERVICE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
FAC-003,FAC,Primary health-centre service or facility issue,FACILITY_SERVICE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
FAC-004,FAC,Municipal hospital service or facility issue,FACILITY_SERVICE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
FAC-005,FAC,Community hall facility issue,FACILITY_SERVICE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
FAC-006,FAC,Crematorium or cemetery facility issue,FACILITY_SERVICE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
FAC-007,FAC,Municipal market facility issue,FACILITY_SERVICE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
FAC-008,FAC,Public library facility issue,FACILITY_SERVICE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
FAC-009,FAC,Night shelter or homeless-shelter facility issue,FACILITY_SERVICE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
FAC-010,FAC,Public lift or escalator failure,SAFETY_HAZARD,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
FAC-011,FAC,Foot-overbridge facility issue,SAFETY_HAZARD,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
FAC-012,FAC,Municipal building access or service issue,FACILITY_SERVICE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
FAC-013,FAC,"Broken public bench, bollard, or shelter",MAINTENANCE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
FAC-014,FAC,Missing or damaged civic-information board,MAINTENANCE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
FAC-015,FAC,Damaged public boundary wall or fence,SAFETY_HAZARD,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
FAC-016,FAC,Open excavation or missing safety barricade,SAFETY_HAZARD,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
FAC-017,FAC,Public drinking-water facility unavailable,FACILITY_SERVICE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
FAC-018,FAC,Accessibility barrier at a public facility,FACILITY_SERVICE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
FAC-019,FAC,Missing fire extinguisher or safety equipment in a public facility,SAFETY_HAZARD,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
FAC-020,FAC,Public facility unexpectedly closed or operating outside published hours,SERVICE_FAILURE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
LAW-001,LAW,"Crime, assault, or violence in progress",EMERGENCY,EMERGENCY_PRIVATE,protected_handoff,,protected_handoff,false,law_immediate_danger_112|law_non_emergency_police
LAW-002,LAW,Assault reported after the incident,CRIME_REPORT,PRIVATE,protected_handoff,,protected_handoff,false,law_immediate_danger_112|law_non_emergency_police
LAW-003,LAW,"Robbery, snatching, or theft",CRIME_REPORT,PRIVATE,protected_handoff,,protected_handoff,false,law_immediate_danger_112|law_non_emergency_police
LAW-004,LAW,"Burglary, housebreaking, or criminal trespass",CRIME_REPORT,PRIVATE,protected_handoff,,protected_handoff,false,law_immediate_danger_112|law_non_emergency_police
LAW-005,LAW,"Harassment, intimidation, or stalking",LAW_AND_ORDER,PRIVATE,protected_handoff,,protected_handoff,false,law_immediate_danger_112|law_non_emergency_police
LAW-006,LAW,Domestic violence or intimate-partner abuse,WELFARE_PROTECTION,PRIVATE,protected_handoff,,protected_handoff,false,law_immediate_danger_112|law_domestic_violence_181|law_non_emergency_police
LAW-007,LAW,Sexual harassment or sexual assault,CRIME_REPORT,PRIVATE,protected_handoff,,protected_handoff,false,law_immediate_danger_112|law_sexual_violence_181|law_non_emergency_police
LAW-008,LAW,Women-safety concern in a public place,LAW_AND_ORDER,PRIVATE,protected_handoff,,protected_handoff,false,law_immediate_danger_112|law_women_safety_181|law_non_emergency_police
LAW-009,LAW,"Child abuse, exploitation, or unsafe custody concern",WELFARE_PROTECTION,PRIVATE,protected_handoff,,protected_handoff,false,law_immediate_danger_112|law_child_protection_1098|law_non_emergency_police
LAW-010,LAW,Missing person,CRIME_REPORT,PRIVATE,protected_handoff,,protected_handoff,false,law_immediate_danger_112|law_non_emergency_police
LAW-011,LAW,"Suspicious person, vehicle, or repeated suspicious activity",LAW_AND_ORDER,PRIVATE,protected_handoff,,protected_handoff,false,law_immediate_danger_112|law_non_emergency_police
LAW-012,LAW,Suspicious object or possible explosive,EMERGENCY,EMERGENCY_PRIVATE,protected_handoff,,protected_handoff,false,law_immediate_danger_112|law_non_emergency_police
LAW-013,LAW,Weapon or armed-threat sighting,EMERGENCY,EMERGENCY_PRIVATE,protected_handoff,,protected_handoff,false,law_immediate_danger_112|law_non_emergency_police
